iter	Passed	Remaining
0	141	140889
1	142	71207
2	144	47980
3	145	36335
4	147	29365
5	149	24721
6	150	21375
7	152	18946
8	154	17005
9	156	15448
10	157	14170
11	159	13113
12	160	12214
13	162	11446
14	164	10780
15	165	10191
16	167	9679
17	169	9221
18	170	8809
19	172	8436
20	173	8103
21	175	7794
22	176	7509
23	178	7252
24	180	7020
25	181	6800
26	182	6592
27	184	6405
28	186	6230
29	187	6068
30	189	5913
31	190	5769
32	192	5637
33	193	5509
34	195	5393
35	197	5284
36	199	5182
37	200	5083
38	202	4987
39	203	4894
40	205	4807
41	207	4724
42	208	4645
43	210	4571
44	211	4498
45	213	4431
46	215	4365
47	216	4302
48	218	4241
49	220	4180
50	221	4124
51	223	4071
52	224	4019
53	226	3969
54	228	3919
55	229	3870
56	231	3822
57	232	3776
58	234	3734
59	235	3691
60	237	3650
61	238	3611
62	240	3574
63	241	3535
64	243	3500
65	244	3466
66	246	3429
67	247	3387
68	248	3355
69	250	3328
70	252	3305
71	254	3278
72	256	3251
73	258	3229
74	259	3203
75	261	3177
76	262	3152
77	264	3127
78	266	3103
79	267	3079
80	269	3054
81	270	3030
82	272	3008
83	273	2986
84	274	2959
85	276	2938
86	277	2912
87	279	2893
88	280	2872
89	282	2852
90	283	2832
91	284	2812
92	286	2794
93	288	2777
94	289	2759
95	291	2743
96	292	2726
97	294	2710
98	296	2694
99	297	2678
100	299	2661
101	299	2640
102	301	2625
103	302	2609
104	304	2595
105	306	2581
106	307	2567
107	309	2552
108	310	2539
109	312	2525
110	313	2512
111	315	2499
112	316	2486
113	318	2473
114	319	2460
115	321	2446
116	322	2436
117	324	2426
118	326	2413
119	327	2402
120	329	2392
121	330	2381
122	331	2367
123	333	2356
124	335	2345
125	336	2335
126	338	2325
127	339	2311
128	340	2301
129	342	2291
130	344	2282
131	345	2272
132	347	2263
133	348	2253
134	350	2243
135	351	2233
136	353	2224
137	354	2214
138	356	2205
139	357	2197
140	359	2188
141	360	2180
142	362	2173
143	364	2165
144	365	2156
145	367	2148
146	368	2140
147	370	2132
148	372	2124
149	373	2117
150	375	2109
151	376	2102
152	378	2095
153	380	2088
154	381	2080
155	383	2074
156	384	2066
157	386	2059
158	387	2052
159	389	2044
160	391	2038
161	392	2030
162	394	2023
163	395	2017
164	397	2011
165	398	2004
166	400	1998
167	402	1991
168	403	1985
169	405	1978
170	406	1972
171	408	1966
172	410	1960
173	411	1954
174	413	1948
175	414	1942
176	416	1936
177	418	1930
178	419	1925
179	421	1919
180	422	1910
181	423	1904
182	425	1898
183	426	1892
184	428	1887
185	430	1881
186	431	1875
187	433	1871
188	434	1866
189	436	1860
190	438	1855
191	439	1849
192	441	1844
193	442	1839
194	444	1834
195	446	1829
196	447	1824
197	449	1819
198	450	1813
199	452	1808
200	453	1803
201	455	1798
202	456	1792
203	458	1788
204	460	1784
205	461	1780
206	463	1776
207	465	1771
208	466	1766
209	468	1762
210	469	1757
211	471	1752
212	473	1747
213	474	1743
214	476	1738
215	477	1734
216	479	1730
217	480	1725
218	482	1720
219	484	1716
220	485	1711
221	487	1707
222	488	1703
223	490	1698
224	491	1693
225	493	1689
226	494	1684
227	496	1680
228	497	1676
229	499	1672
230	501	1668
231	502	1663
232	504	1659
233	505	1655
234	507	1651
235	508	1647
236	510	1643
237	511	1638
238	513	1634
239	514	1630
240	516	1626
241	518	1622
242	519	1618
243	521	1614
244	522	1610
245	524	1607
246	525	1602
247	527	1598
248	528	1594
249	530	1590
250	531	1586
251	533	1582
252	534	1579
253	536	1575
254	537	1571
255	539	1567
256	540	1563
257	542	1560
258	543	1556
259	545	1552
260	547	1548
261	548	1545
262	550	1541
263	551	1538
264	553	1535
265	555	1531
266	556	1528
267	558	1524
268	559	1520
269	561	1516
270	562	1513
271	564	1509
272	565	1506
273	567	1502
274	568	1499
275	570	1495
276	571	1492
277	573	1489
278	574	1485
279	576	1482
280	578	1479
281	579	1475
282	581	1472
283	582	1469
284	584	1465
285	585	1462
286	587	1459
287	588	1455
288	590	1452
289	592	1449
290	593	1446
291	595	1443
292	596	1439
293	598	1436
294	599	1433
295	601	1430
296	603	1428
297	605	1425
298	606	1422
299	608	1419
300	609	1416
301	611	1413
302	612	1410
303	614	1406
304	616	1404
305	617	1401
306	619	1398
307	621	1395
308	622	1392
309	624	1389
310	625	1385
311	627	1382
312	628	1379
313	630	1376
314	631	1373
315	633	1370
316	634	1367
317	636	1364
318	637	1361
319	639	1358
320	640	1355
321	642	1352
322	644	1350
323	645	1347
324	647	1344
325	648	1341
326	650	1338
327	652	1336
328	653	1333
329	655	1330
330	656	1327
331	658	1324
332	659	1321
333	661	1319
334	663	1316
335	664	1313
336	666	1311
337	668	1308
338	669	1305
339	671	1303
340	672	1300
341	674	1297
342	676	1295
343	677	1292
344	679	1289
345	681	1287
346	682	1284
347	684	1282
348	686	1279
349	687	1276
350	689	1274
351	690	1271
352	692	1269
353	694	1267
354	696	1264
355	697	1261
356	699	1258
357	700	1256
358	702	1253
359	703	1250
360	705	1248
361	706	1245
362	708	1242
363	709	1240
364	711	1237
365	712	1234
366	714	1232
367	715	1229
368	717	1226
369	718	1224
370	720	1221
371	722	1219
372	723	1216
373	725	1213
374	726	1211
375	728	1208
376	729	1205
377	731	1203
378	732	1200
379	734	1198
380	735	1195
381	737	1192
382	738	1190
383	740	1187
384	742	1185
385	743	1182
386	745	1180
387	746	1177
388	748	1175
389	749	1172
390	751	1169
391	752	1167
392	754	1164
393	755	1162
394	757	1159
395	758	1157
396	760	1154
397	761	1151
398	763	1149
399	764	1146
400	766	1144
401	767	1142
402	769	1139
403	770	1137
404	772	1134
405	773	1132
406	775	1129
407	776	1127
408	778	1124
409	779	1122
410	781	1119
411	782	1116
412	784	1114
413	785	1111
414	787	1109
415	788	1107
416	790	1104
417	791	1102
418	793	1099
419	794	1097
420	796	1095
421	797	1092
422	799	1090
423	800	1088
424	802	1085
425	803	1083
426	805	1081
427	807	1078
428	808	1076
429	810	1073
430	811	1071
431	813	1069
432	815	1067
433	816	1065
434	818	1062
435	819	1060
436	821	1058
437	822	1055
438	824	1053
439	826	1051
440	827	1049
441	829	1046
442	830	1044
443	832	1042
444	833	1040
445	835	1037
446	837	1035
447	838	1033
448	840	1030
449	841	1028
450	843	1026
451	844	1024
452	846	1022
453	847	1019
454	849	1017
455	850	1015
456	852	1012
457	853	1010
458	855	1008
459	857	1006
460	858	1003
461	860	1001
462	861	999
463	863	997
464	864	994
465	866	992
466	867	990
467	869	988
468	870	985
469	872	983
470	873	981
471	875	978
472	876	976
473	878	974
474	879	972
475	881	969
476	882	967
477	884	965
478	885	963
479	887	961
480	888	959
481	890	957
482	892	954
483	893	952
484	895	950
485	896	948
486	898	946
487	899	943
488	901	941
489	902	939
490	904	937
491	905	935
492	907	932
493	908	930
494	910	928
495	911	926
496	913	924
497	914	922
498	916	920
499	917	917
500	919	915
501	921	913
502	922	911
503	924	909
504	925	907
505	927	905
506	928	903
507	930	901
508	931	898
509	933	896
510	934	894
511	936	892
512	938	890
513	939	888
514	941	886
515	942	884
516	944	882
517	945	880
518	947	877
519	948	875
520	950	873
521	951	871
522	953	869
523	954	867
524	956	865
525	957	863
526	959	861
527	960	858
528	962	856
529	964	854
530	965	852
531	967	850
532	968	848
533	970	846
534	971	844
535	973	842
536	974	840
537	976	838
538	978	836
539	979	834
540	981	832
